Species,12S,16S,cytb,CXCR4,H3A,NCX1,POMC,RAG1,RHOD,SIA,SLC8A3,TYR
Ischnocnema.hoehnei,EF493359,EF493359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischnocnema.holti,EU186740,EU186722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischnocnema.juipoca,DQ283093,DQ283093 ,NA,NA,DQ284143,NA,NA,NA,DQ283809,NA,NA,DQ282920
Ischnocnema.parva,EF493532,EF493532,NA,NA,NA,NA,NA,EF493400,NA,NA,NA,EF493509
Isthmohyla.pseudopuma,AY843656,AY843656,FJ226899,NA,NA,NA,DQ055799,FJ227075,NA,AY844861,NA,AY844101
Isthmohyla.rivularis,AY843659,AY843659,AY843902,NA,DQ284058,NA,DQ055800,NA,NA,NA,NA,NA
Isthmohyla.tica,AY819440,DQ830818,NA,NA,NA,NA,DQ055804,DQ830938,NA,DQ830972,NA,NA
Isthmohyla.zeteki,EF566968,EF566968 ,NA,NA,NA,NA,DQ055806,DQ830939,NA,DQ830973,NA,NA
Itapotihyla.langsdorffii,AY843706,AY843706,AY843951,NA,NA,NA,AY819129,AY844482,NA,AY844903,NA,AY844137
Ixalotriton.niger,NA,AF451248,AF451207,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ixalotriton.parvus,NA,AF451249,AF451209,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kalophrynus.baluensis,NA,EF017953,NA,EF017972,NA,EF018028,NA,EF018042,NA,NA,NA,NA
Kalophrynus.intermedius,NA,EF017952,NA,EF017971,NA,EF018027,NA,EF018041,NA,NA,NA,NA
Kalophrynus.pleurostigma,DQ283146,DQ283146 ,NA,NA,DQ284186,AY948811,NA,AY948919,DQ283846,DQ282702,AY948863,NA
Kaloula.conjuncta,AY326064,AY326064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaloula.pulchra,AF315130,AF315162,AY458595,EF017974,DQ284379,EF018030,NA,EF396091,DQ284011,DQ282857,NA,EF395978
Kaloula.taprobanica,DQ346970,AF249057,AF249085,NA,NA,AY948807,NA,AY948915,AF249100,NA,AY948853,AF249163
Karsenia.koreana,NA,NA,NA,NA,NA,NA,EU275822,AY887135,NA,NA,NA,NA
Kassina.maculata,AF215229,AF215444,NA,NA,NA,NA,NA,AY571651,NA,NA,NA,NA
Kassina.senegalensis,FJ151067,AF215445,AF215495,NA,DQ284413,NA,NA,NA,NA,DQ282891,NA,DQ283026
Kurixalus.eiffingeri,AY880538,AY880492,NA,NA,DQ284166,NA,NA,NA,AY880625,NA,NA,DQ282931
Kurixalus.hainanus,NA,NA,NA,NA,NA,NA,GQ285717,GQ285749,EU215578,NA,NA,NA
Kurixalus.idiootocus,NA,NA,NA,NA,DQ284087,NA,GQ285719,GQ285751,DQ283783,NA,NA,DQ282905
Kurixalus.jinxiuensis,NA,NA,NA,NA,NA,NA,GQ285731,GQ285763,EU924543,NA,NA,EU924571
Kurixalus.odontotarsus,AY880553,AY880507,EU924594,NA,NA,NA,GQ285718,GQ285750,EU924538,NA,NA,NA
Laliostoma.labrosum,DQ346998,AB325875,NA,NA,DQ284089,AY948816,NA,AY948923,AF249106,NA,AY948870,NA
Lankanectes.corrugatus,DQ346971,AF215393,NA,NA,NA,AY948808,NA,AY948916,AF249115,NA,AY948854,AF249178
Laotriton.laoensis,EU880328,EU880328,EU880328,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lechriodus.fletcheri,DQ283282,DQ283283,NA,NA,DQ284299,NA,NA,NA,DQ283942,DQ282793,NA,NA
Leiopelma.archeyi,DQ283216,AY523785,FJ950427,NA,DQ284246,NA,NA,AY523748,DQ283895,NA,EF107408,FJ950320
Leiopelma.hamiltoni,X86241,X86275,FJ950426,NA,NA,NA,NA,NA,NA,NA,NA,FJ950321
Leiopelma.hochstetteri,DQ283217,DQ283217 ,FJ950425,NA,DQ284247,NA,NA,AY523753,NA,DQ282755,AY948902,FJ950319
Leiopelma.pakeka,NA,NA,AF231457,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidobatrachus.laevis,DQ283152,EF107175,NA,EF107461,DQ284191,EF107236,AY819094,EF107298,DQ283851,DQ282707,EF107386,NA
Leptobrachium.ailaonicum,EF544226,EF544226 ,EU180908,NA,NA,NA,NA,EF544368,NA,NA,NA,NA
Leptobrachium.banae,EF544229,EF544229 ,NA,NA,NA,NA,NA,EF544314,NA,NA,NA,NA
Leptobrachium.boringii,EF544214,EF544243 ,AY561324,NA,NA,NA,NA,EF397284,NA,NA,NA,NA
Leptobrachium.chapaense,EF544239,EF544239 ,EU180899,NA,DQ284081,NA,NA,EF544317,NA,NA,NA,NA
Leptobrachium.gunungense,DQ642143,DQ642118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptobrachium.hainanense,EF544234,EF544234 ,EU180927,NA,NA,NA,NA,EF544339,NA,NA,NA,NA
Leptobrachium.hasseltii,EF672271,EF672271 ,NA,NA,DQ284265,NA,NA,EF672278,DQ283911,DQ282767,NA,NA
Leptobrachium.huashen,NA,EU180854,EU180896,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptobrachium.leishanense,EF544201,EF544201 ,EU180915,NA,NA,NA,NA,EF397283,NA,NA,NA,NA
Leptobrachium.liui,EF544206,EF544206 ,AY561325,NA,NA,NA,NA,EF544323,NA,NA,NA,NA
Leptobrachium.montanum,DQ642142,AY523767,EU180925,NA,NA,NA,NA,AY523738,NA,NA,EF107352,NA
Leptobrachium.mouhoti,EF672272,EF672272 ,NA,NA,NA,NA,NA,EF672280,NA,NA,NA,NA
Leptobrachium.ngoclinhense,EF544228,EF544228 ,NA,NA,NA,NA,NA,EF544360,NA,NA,NA,NA
Leptobrachium.promustache,EF544241,EF544241 ,EU180911,NA,NA,NA,NA,EF544370,NA,NA,NA,NA
Leptobrachium.smithi,NA,EU180884,EU180926,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptobrachium.xanthospilum,EF544231,EF544231 ,NA,NA,NA,NA,NA,EF397282,NA,NA,NA,NA
Leptodactylodon.bicolor,DQ283364,DQ283364 ,NA,NA,DQ284351,NA,NA,NA,DQ283986,NA,NA,DQ282980
Leptodactylus.albilabris,EF091411,EF091414,EF091406,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.bufonius,AY943220,AY943233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.chaquensis,AY943221,EF632055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.didymus,AY819346,AY948957,NA,NA,NA,NA,AY819095,NA,NA,NA,NA,NA
Leptodactylus.diedrus,AY943217,AY943230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.discodactylus,EU342502,EU342502,NA,NA,DQ284410,NA,NA,NA,DQ284033,DQ282887,NA,NA
Leptodactylus.elenae,AY948955,AY948959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.fallax,EF091412,EF091415,EF091408,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.fuscus,DQ283404,DQ283404 ,AY341741,NA,DQ284385,NA,NA,AY323770,DQ284015,DQ282862,NA,AY341760
Leptodactylus.gracilis,NA,NA,AY332229,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.griseigularis,NA,EU368907,EU368893,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.knudseni,EF613180,EF632056,EF091409,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.labyrinthicus,AY947875,AY947860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.leptodactyloides,AY943223,AY943236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.longirostris,NA,EU201121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.melanonotus,DQ347060,AY943237,NA,AY364194,NA,AY948838,NA,AY364224,AY364405,NA,AY948900,DQ347193
Leptodactylus.mystaceus,AY905717,AY911286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.mystacinus,AY905716,AF124129,NA,NA,NA,NA,NA,AY323771,NA,NA,NA,NA
Leptodactylus.notoaktites,AY948954,AY948958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.ocellatus,AY843688,AY843688,AY843934,DQ306492,DQ284104,NA,DQ158259,DQ158343,NA,AY844890,NA,NA
Leptodactylus.pallidirostris,EF613171,EF632047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.pentadactylus,AY326017,AY326017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.plaumanni,NA,NA,AY332231,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.podicipinus,EF613175,EF632050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.rhodomystax,AY947869,EU201122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.rhodonotus,AM039727,EU368908,EU368892,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.riveroi,AY943218,AY943231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.silvanimbus,AY943219,AY943232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.spixi,AY948952,AY948956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.validus,EF613169,EF632009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.vastus,AY947873,AY947858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptodactylus.wagneri,EF613178,EF632054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptolalax.arayai,DQ642144,AY523768,NA,NA,NA,NA,NA,AY523739,NA,NA,EF107353,NA
Leptolalax.bourreti,NA,DQ283381,NA,NA,DQ284367,NA,NA,NA,DQ284000,DQ282844,NA,NA
Leptolalax.liui,EF544238,EF544238 ,NA,NA,NA,NA,NA,EF544354,NA,NA,NA,NA
Leptolalax.oshanensis,NA,AY526215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptolalax.pelodytoides,EF397244,EF397244,AY236765,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptolalax.pictus,DQ642145,DQ642120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptopelis.argenteus,U22075,DQ283226,NA,NA,DQ284256,NA,NA,NA,DQ283903,NA,NA,NA
Leptopelis.bocagii,DQ283418,DQ283418 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,DQ283014
Leptopelis.brevirostris,NA,AY702652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptopelis.concolor,U22079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptopelis.kivuensis,DQ347005,FJ151060,NA,AY364181,NA,NA,NA,AY364211,AY322214,NA,AY948872,AY322335
Leptopelis.modestus,AF215230,AJ437013,AF215497,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptopelis.natalensis,AY341626,AY341692,AY341736,NA,NA,NA,NA,AY571654,AY341811,NA,NA,AY341755
Leptopelis.palmatus,AY603992,AY603992 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptopelis.vermiculatus,DQ022312,DQ022347,NA,NA,DQ284268,NA,NA,NA,NA,NA,NA,NA
Leptophryne.borbonica,FJ882799 ,AB331716,NA,EF107450,NA,EF107224,NA,EF107287,NA,NA,EF107357,NA
Limnodynastes.convexiusculus,NA,AJ269706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnodynastes.depressus,DQ283308,DQ283308 ,NA,NA,DQ284312,NA,NA,NA,DQ283954,DQ282805,NA,NA
Limnodynastes.dorsalis,AF261250,AF261268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnodynastes.dumerilii,DQ283285,AJ269732,NA,NA,DQ284301,NA,NA,NA,DQ283944,DQ282794,NA,NA
Limnodynastes.fletcheri,NA,AJ269742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnodynastes.interioris,NA,AJ269746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnodynastes.lignarius,DQ283289,DQ283289 ,NA,NA,DQ284303,NA,NA,NA,NA,DQ282796,NA,NA
Limnodynastes.peronii,DQ283246,DQ283245,NA,NA,DQ284272,NA,NA,NA,DQ283917,DQ282772,NA,NA
Limnodynastes.salmini,AY326071,AY326071,NA,AY364189,NA,NA,NA,AY364219,AY364400,NA,AY948889,NA
Limnodynastes.tasmaniensis,NA,AJ269774,GQ345209,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnodynastes.terraereginae,NA,AJ269780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnomedusa.macroglossa,AY843689,AY843689,AY843935,NA,DQ284127,NA,NA,AY844471,AY844682,AY844891,NA,AY844128
Limnonectes.acanthi,AY313724,AY313724 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.arathooni,AY313744,AY313744 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.asperatus,AF183127,HM067241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.bannaensis,NC_012837,AY899242,FJ349547,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.blythii,AF206082,AF206463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.dabanus,AF206115,AF206496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.finchi,AY322306,AY322295,NA,NA,NA,NA,NA,NA,AY322230,NA,NA,AY322355
Limnonectes.fragilis,AY703867,AY703854,FJ349551,NA,NA,NA,NA,NA,DQ458270,NA,NA,EU980020
Limnonectes.fujianensis,AY703865,DQ118518,FJ349402,NA,NA,NA,NA,NA,DQ458260,NA,NA,DQ458275
Limnonectes.grunniens,EU979643,U66125,NA,NA,DQ284234,NA,NA,NA,DQ283885,DQ282745,NA,EU980023
Limnonectes.gyldenstolpei,AY880453,AY880440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.hascheanus,AY880488,AY880449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.heinrichi,AY313749,AY313749 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.ibanorum,U66122,U66123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.ingeri,U55268,U55275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.kadarsani,AY313693,AY313693 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.kuhlii,AY703869,DQ283370 ,FJ349553,NA,DQ284355,NA,NA,DQ347232,AF249116,DQ282835,NA,EU980019
Limnonectes.laticeps,AF183125,AB277306,NA,AB277320,NA,AB277332,NA,NA,NA,NA,NA,AB277359
Limnonectes.leporinus,AY313691,AY313691 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.leytensis,AY313702,AY313695 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.limborgi,DQ347061,AF261269,NA,NA,NA,NA,NA,DQ347286,DQ347407,NA,NA,NA
Limnonectes.macrocephalus,AY880472,AY313713 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.macrodon,U66132,U66133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.magnus,DQ347022,AY313706 ,NA,EF017994,NA,EF018019,NA,NA,DQ347373,NA,EF107377,DQ347157
Limnonectes.malesianus,AY313692,AY313692 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.microdiscus,AY313688,AY313688 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.microtympanum,AY313746,AY313746 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.modestus,AY313766,AY313766 ,NA,NA,NA,NA,NA,NA,EU979930,NA,NA,EU980021
Limnonectes.palavanensis,U55266,U55273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.paramacrodon,AY882574,AY313690 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.parvus,AY313694,AY313694 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.poilani,DQ283378,DQ283378 ,NA,NA,DQ284364,NA,NA,NA,DQ283997,DQ282841,NA,DQ282989
Limnonectes.shompenorum,EU979734,EU979794,NA,NA,NA,NA,NA,NA,EU979931,NA,NA,EU980022
Limnonectes.visayanus,AY313720,AY313720 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes.woodworthi,AY313709,AY313712 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lineatriton.lineolus,NA,AF380804,AF380769,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lineatriton.orchileucos,NA,DQ640060,DQ640022,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liophryne.dentata,EU100178,EU100294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liophryne.rhododactyla,DQ283199,DQ283199 ,NA,NA,DQ284231,NA,NA,NA,DQ283882,DQ282742,NA,NA
Liophryne.schlaginhaufeni,EU100179,EU100295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lissotriton.boscai,DQ092287,DQ092268,DQ821219,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lissotriton.helveticus,DQ092286,DQ092267,DQ821239,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lissotriton.italicus,DQ092288,DQ092269,DQ821242,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lissotriton.montandoni,NA,NA,DQ821259,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lissotriton.vulgaris,U04704,U04705,U55948,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithodytes.lineatus,AY326012,AY326012,AY843936,NA,DQ284112,NA,NA,NA,NA,NA,NA,AY844129
Litoria.adelaidensis,FJ965862,FJ945365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.alboguttata,DQ116846,DQ116870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.amboinensis,FJ965863,FJ945366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.andiirrmalin,FJ965864,FJ945367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.angiana,FJ965865,FJ945368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.arfakiana,AY326039,AY326039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.aurea,DQ116845,DQ116869,AY843937,NA,DQ284098,NA,AY819148,EF174309,NA,AY844892,NA,AY844130
Litoria.australis,AY843580,AY843580,AY843802,GQ365987,DQ284124,NA,NA,AY844376,NA,NA,NA,NA
Litoria.barringtonensis,FJ965867,FJ945370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.bicolor,DQ116835,DQ116859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.booroolongensis,FJ965868,FJ945371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.brevipalmata,FJ965869,FJ945372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.brevipes,AY819411,FJ945355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.burrowsi,FJ965870,FJ945373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.caerulea,AY326038,AF136316,AY843938,GQ365988,NA,AY948821,AY819149,EF174310,NA,AY844893,AY948877,AY844131
Litoria.cavernicola,FJ965871,FJ945374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.cheesmani,FJ965938,FJ945440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.chloris,DQ116851,DQ116874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.citropa,NA,AF282611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.congenita,FJ965872,FJ945375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.coplandi,DQ116841,DQ116865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.cryptotis,FJ965852,FJ945356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.cultripes,FJ965853,FJ945357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.cyclorhyncha,FJ965874,FJ945377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.dahlii,DQ116844,DQ116868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.darlingtoni,FJ965875,FJ945378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.daviesae,FJ965876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.dayi,FJ965939,DQ283220 ,NA,NA,DQ284250,NA,NA,NA,DQ283897,DQ282757,NA,NA
Litoria.dentata,FJ965877,FJ945379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.dorsalis,FJ965878,FJ945380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.dux,FJ965879,FJ945381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.electrica,FJ965880,FJ945382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.eucnemis,FJ965882,AF136315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.ewingii,FJ965884,FJ945386,NA,NA,NA,NA,NA,EF551562,NA,NA,NA,NA
Litoria.exophthalmia,FJ965885,AF136314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.fallax,DQ116836,DQ116860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.foricula,FJ965941,FJ945443,NA,NA,NA,NA,AY819150,NA,NA,NA,NA,NA
Litoria.freycineti,AY843693,AY843693,AY843939,GQ365989,DQ284122,NA,NA,AY844473,NA,AY844894,NA,NA
Litoria.genimaculata,DQ283222,DQ283222 ,NA,NA,DQ284252,NA,NA,NA,DQ283899,DQ282759,NA,NA
Litoria.gilleni,DQ116849,DQ116872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.gracilenta,DQ116853,DQ116876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.havina,FJ965890,FJ945392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.humeralis,FJ965942,FJ945444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.impura,FJ965891,FJ945393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.inermis,DQ283211,DQ283211 ,NA,NA,DQ284243,NA,NA,NA,DQ283892,NA,NA,NA
Litoria.infrafrenata,AY843694,AY843694,AY843940,GQ365990,NA,NA,NA,AY844474,NA,NA,NA,NA
Litoria.iris,FJ965893,FJ945395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.jervisiensis,FJ965895,FJ945397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.jungguy,FJ965896,FJ945398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.kubori,AY326037,AY326037,AY843947,GQ365991,NA,NA,NA,AY844479,NA,NA,NA,NA
Litoria.kumae,FJ965897,FJ945399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.latopalmata,FJ965898,FJ945400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.lesueurii,FJ965899,DQ283204 ,NA,NA,DQ284236,NA,NA,NA,DQ283887,DQ282747,NA,NA
Litoria.leucova,FJ965900,FJ945402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.littlejohni,FJ965901,FJ945403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.longipes,FJ965854,DQ116867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.longirostris,FJ965902,FJ945404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.maculosa,FJ965855,FJ945359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.maini,FJ882737,FJ945360,NA,EF107475,NA,EF107252,NA,NA,NA,NA,EF107411,NA
Litoria.majikthise,FJ965903,FJ945405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.manya,FJ965857,FJ945361,EF125030,NA,NA,NA,AY819147,NA,NA,NA,NA,NA
Litoria.meiriana,AY843695,AY843695,NA,NA,DQ284125,NA,NA,AY844475,NA,AY844895,NA,AY844132
Litoria.microbelos,DQ116831,DQ116855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.micromembrana,FJ965904,AF136336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.modica,FJ965906,FJ945407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.moorei,FJ965909,FJ945411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.multiplica,FJ965910,FJ945412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.nannotis,FJ965911,DQ283218 ,NA,NA,DQ284248,NA,NA,NA,DQ283896,DQ282756,NA,NA
Litoria.narinosus,AY843703,AY843703,AY843948,GQ365992,NA,NA,NA,NA,NA,NA,NA,AY844135
Litoria.nasuta,DQ116838,DQ116862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.nigrofrenata,FJ965912,FJ945414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.nigropunctata,FJ965913,FJ945415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.novaehollandiae,FJ965858,FJ945362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.nudidigita,FJ965914,FJ945416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.nyakalensis,FJ965915,FJ945417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.olongburensis,FJ965916,FJ945418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.pallida,DQ116840,DQ116864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.papua,FJ965943,FJ945445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.paraewingi,FJ965917,FJ945419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.pearsoniana,FJ965918,FJ945420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.peronii,AY819408,DQ116857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.personata,FJ965919,FJ945421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.phyllochroa,FJ965920,FJ945422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.platycephala,FJ965859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.pronimia,FJ965922,FJ945424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.prora,FJ965923,FJ945425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.pulcher,FJ965944,FJ945446,AY843946,GQ365993,DQ284126,AY948843,NA,AY948941,NA,NA,AY948907,AY844134
Litoria.raniformis,FJ965924,FJ945426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.revelata,FJ965925,FJ945427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.rheocola,FJ965926,AF136327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria.rothii,DQ116834,DQ116858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
